epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.69403,1.1017,3.23423,1.2829,0.0048,0.81944,0.18716,0.11609,0.69655,2.99222,0.98675,2e-05,2e-05,2e-05
2,3.3431,1.15815,3.25142,1.29935,0.00488,0.83333,0.17523,0.10122,0.70235,2.98901,0.99039,5.9406e-05,5.9406e-05,5.9406e-05
3,3.91113,1.10809,3.27107,1.2278,0.00488,0.83333,0.38278,0.28417,0.71939,2.98561,1.00308,9.802e-05,9.802e-05,9.802e-05
4,4.57835,0.94477,3.01457,1.1629,0.00528,0.90278,0.48171,0.35887,0.71041,2.9389,0.96515,0.000135842,0.000135842,0.000135842
5,5.14584,0.96636,2.42269,1.0973,0.00528,0.90278,0.52435,0.40336,0.76941,2.85596,0.97055,0.000172872,0.000172872,0.000172872
6,5.72699,1.02333,1.93817,1.11306,1,0.17626,0.55457,0.40525,0.8761,2.75291,1.0142,0.00020911,0.00020911,0.00020911
7,6.29067,1.03198,1.59188,1.10437,1,0.32953,0.64732,0.49722,0.845,2.60471,0.99597,0.000244556,0.000244556,0.000244556
8,6.85811,0.97113,1.3804,1.05031,1,0.3903,0.68495,0.53773,0.85839,2.54579,0.99477,0.00027921,0.00027921,0.00027921
9,7.43609,0.83553,1.32287,1.04188,1,0.2958,0.68263,0.5299,0.89545,2.59818,1.02177,0.000313072,0.000313072,0.000313072
10,8.00161,0.91991,1.41526,1.02485,1,0.26665,0.68967,0.50493,0.94448,2.68456,1.03868,0.000346142,0.000346142,0.000346142
11,8.56155,0.89204,1.2351,0.98621,1,0.43623,0.67705,0.47505,0.99308,2.69333,1.0659,0.00037842,0.00037842,0.00037842
12,9.14069,0.80199,1.23126,0.99522,1,0.30113,0.65351,0.45183,1.05197,2.58246,1.09554,0.000409906,0.000409906,0.000409906
13,9.7013,0.90687,1.22173,1.08105,1,0.35765,0.62225,0.47643,0.95979,2.53676,1.07962,0.0004406,0.0004406,0.0004406
14,10.2789,0.95732,1.14862,1.05014,1,0.31302,0.58891,0.44005,0.96571,2.57442,1.06374,0.000470502,0.000470502,0.000470502
