epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.77032,1.04249,3.1617,1.24326,0.00521,0.82432,0.1882,0.11326,0.65409,2.95968,1.00699,4e-05,4e-05,4e-05
2,4.42321,1.01132,3.13176,1.19209,0.00573,0.90541,0.5068,0.35419,0.69416,2.91662,0.99373,9.9505e-05,9.9505e-05,9.9505e-05
3,5.12444,1.05391,2.72527,1.18927,0.0059,0.93243,0.60197,0.46789,0.73011,2.82001,0.98469,0.000158416,0.000158416,0.000158416
4,5.76847,1.17302,2.23091,1.17577,0.01135,0.7973,0.65643,0.49478,0.82187,2.68995,0.98997,0.000216733,0.000216733,0.000216733
5,6.54938,0.97679,1.42578,1.05453,1,0.52485,0.66697,0.5003,0.9392,2.42646,1.02215,0.000274456,0.000274456,0.000274456
6,7.19256,1.09979,1.58761,1.13719,0.97515,0.5303,0.67332,0.47286,1.03825,2.36927,1.06914,0.000331585,0.000331585,0.000331585
7,7.83635,1.0336,1.6524,1.10911,0.96836,0.41363,0.70907,0.51132,0.98068,2.37833,1.04797,0.00038812,0.00038812,0.00038812
8,8.524,0.987,1.38653,1.06509,0.96803,0.40932,0.69788,0.47732,0.98087,2.38746,1.0492,0.000444061,0.000444061,0.000444061
9,9.14734,1.08214,1.4994,1.05478,0.93452,0.38583,0.70524,0.45597,1.0216,2.46131,1.08079,0.000499408,0.000499408,0.000499408
10,9.72185,1.03166,1.44287,1.06928,0.94285,0.44588,0.72282,0.43412,1.03956,2.45764,1.09057,0.000554161,0.000554161,0.000554161
11,10.4253,1.0281,1.4131,1.10608,1,0.43293,0.72473,0.46111,0.99355,2.42036,1.05633,0.00060832,0.00060832,0.00060832
12,11.0548,0.98365,1.24356,1.07321,0.96712,0.39764,0.69596,0.4546,1.02332,2.35074,1.08931,0.000661885,0.000661885,0.000661885
13,11.7007,0.93125,1.2153,1.07869,0.94016,0.42473,0.60848,0.37162,1.04764,2.35501,1.13159,0.000714856,0.000714856,0.000714856
