epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.2912,1.15848,2.49671,1.18519,0.01172,0.84328,0.62489,0.39342,1.02971,2.75101,1.01239,0.00048,0.00048,0.00048
2,17.2163,1.2093,1.55303,1.17151,1,0.07755,0.4243,0.26913,1.1616,2.90415,1.22626,0.000976766,0.000976766,0.000976766
3,22.8219,1.19291,1.41449,1.17339,0.53277,0.21642,0.27312,0.1778,1.19888,2.2787,1.23958,0.00147023,0.00147023,0.00147023
4,28.4118,1.27355,1.4393,1.20768,0.08176,0.4403,0.06524,0.04094,1.3181,4.3802,1.38395,0.0019604,0.0019604,0.0019604
5,34.3005,1.20606,1.35538,1.19392,0.46923,0.47761,0.46943,0.29482,1.27947,3.45774,1.32702,0.0019736,0.0019736,0.0019736
6,39.6388,1.15066,1.18242,1.16568,0.41105,0.50524,0.40367,0.25103,1.3981,2.16451,1.45235,0.001967,0.001967,0.001967
7,44.9501,1.16113,1.11883,1.15954,0.78387,0.73134,0.75336,0.44324,1.39535,1.39221,1.417,0.0019604,0.0019604,0.0019604
8,50.3256,1.11632,1.09663,1.16304,0.71498,0.76866,0.74876,0.47467,1.21296,1.56837,1.26215,0.0019538,0.0019538,0.0019538
9,55.9937,1.10403,1.02129,1.13925,0.78479,0.76119,0.79941,0.56227,1.08136,1.42094,1.16422,0.0019472,0.0019472,0.0019472
10,60.7008,1.10325,0.96569,1.1334,0.61037,0.69403,0.71214,0.50341,1.17773,1.65904,1.24177,0.0019406,0.0019406,0.0019406
11,65.4629,1.128,0.95023,1.14813,0.79235,0.66418,0.77518,0.55334,1.02799,1.46975,1.13066,0.001934,0.001934,0.001934
12,70.9113,1.11295,0.93395,1.1533,0.75935,0.77709,0.80647,0.55865,1.11539,0.97776,1.16259,0.0019274,0.0019274,0.0019274
13,76.2129,1.05458,0.84547,1.10477,0.87967,0.76119,0.83861,0.61069,0.99728,0.91913,1.13195,0.0019208,0.0019208,0.0019208
14,81.85,1.06299,0.86498,1.11408,0.87189,0.66028,0.72114,0.53079,1.06654,1.17725,1.20237,0.0019142,0.0019142,0.0019142
15,87.6868,1.01724,0.81478,1.08953,0.81919,0.71002,0.78452,0.5424,1.11998,1.12071,1.20146,0.0019076,0.0019076,0.0019076
16,93.2704,1.02556,0.81272,1.10259,0.85834,0.74627,0.82642,0.60404,1.05636,1.24558,1.17598,0.001901,0.001901,0.001901
17,97.7389,1.02322,0.77625,1.08986,0.80814,0.77612,0.80509,0.54638,1.1223,1.18084,1.17535,0.0018944,0.0018944,0.0018944
