epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.78296,1.20415,3.35248,1.33336,0.00469,0.92683,0.60368,0.47435,0.6807,2.89756,0.92981,0.00012,0.00012,0.00012
2,8.29118,1.10485,2.16838,1.18179,1,0.29357,0.73366,0.48842,0.95611,2.54759,1.01006,0.000258713,0.000258713,0.000258713
3,9.40893,1.02055,1.54969,1.08859,1,0.45145,0.75585,0.58358,0.81791,2.50132,0.93138,0.00039604,0.00039604,0.00039604
4,10.4487,1.09527,1.53814,1.15114,0.20536,0.82927,0.7886,0.57283,0.88666,2.62769,0.9627,0.000531981,0.000531981,0.000531981
5,11.3458,1.02531,1.39669,1.14609,1,0.26928,0.76612,0.54327,0.97887,2.56303,1.0101,0.000666536,0.000666536,0.000666536
6,12.2345,1.00124,1.32764,1.11962,1,0.30958,0.63149,0.44395,1.0406,2.60305,1.07442,0.000799705,0.000799705,0.000799705
7,13.1237,1.03437,1.3029,1.09702,0.12165,0.21951,0.07022,0.03644,1.22585,3.33009,1.31039,0.000931488,0.000931488,0.000931488
8,13.9642,1.0047,1.26054,1.11593,0.08554,0.12195,0.03562,0.01336,1.36569,3.45577,1.55849,0.00106188,0.00106188,0.00106188
9,14.8265,0.99186,1.25185,1.09839,0.24885,0.26829,0.17869,0.07189,1.29201,3.19795,1.44495,0.0011909,0.0011909,0.0011909
10,15.6765,1.021,1.19459,1.1241,0.41326,0.44676,0.45781,0.26408,1.22297,2.41012,1.27089,0.00131852,0.00131852,0.00131852
11,16.5238,0.95879,1.20782,1.09616,0.88406,0.60976,0.68033,0.47693,1.11382,1.88901,1.25675,0.00144476,0.00144476,0.00144476
12,17.3635,1.02957,1.19348,1.11181,0.79148,0.70732,0.76101,0.51667,1.07568,1.52477,1.1368,0.00156961,0.00156961,0.00156961
13,18.185,1.01224,1.11933,1.10432,0.72465,0.70609,0.72975,0.47081,1.10209,1.52937,1.19104,0.00169308,0.00169308,0.00169308
14,19.083,0.98641,1.1205,1.10933,0.71906,0.70732,0.74072,0.52064,1.06004,1.50613,1.17307,0.00181516,0.00181516,0.00181516
15,19.93,1.05938,1.12515,1.12016,0.76954,0.63415,0.63803,0.3898,1.29449,1.84259,1.31807,0.0018614,0.0018614,0.0018614
16,20.7641,1.03046,1.17767,1.12037,0.75955,0.5122,0.57085,0.38688,1.18774,2.10662,1.24451,0.0018515,0.0018515,0.0018515
17,21.5855,1.07368,1.11906,1.13115,0.7726,0.58537,0.62263,0.41275,1.21823,1.82177,1.26087,0.0018416,0.0018416,0.0018416
18,22.4182,1.03033,1.10984,1.15535,0.51671,0.56098,0.5128,0.33757,1.21436,2.05189,1.27388,0.0018317,0.0018317,0.0018317
19,23.2796,1.06486,1.02779,1.12753,0.68264,0.58537,0.62263,0.43376,1.16949,1.94088,1.20239,0.0018218,0.0018218,0.0018218
20,24.1303,0.97676,0.98629,1.08341,0.78155,0.78546,0.77741,0.51832,1.09396,1.3819,1.17114,0.0018119,0.0018119,0.0018119
21,24.9515,0.96466,0.96938,1.08286,0.85534,0.73171,0.78109,0.50527,1.07354,1.29596,1.13311,0.001802,0.001802,0.001802
22,25.7864,0.91434,0.91674,1.06351,0.88326,0.73171,0.79716,0.5587,1.04292,1.1661,1.13914,0.0017921,0.0017921,0.0017921
23,26.6348,0.92513,0.8887,1.03937,0.91343,0.60976,0.73837,0.46578,1.21684,1.35891,1.2508,0.0017822,0.0017822,0.0017822
24,27.4668,1.02146,0.95376,1.1239,0.75782,0.60976,0.67697,0.44745,1.19056,1.7557,1.30798,0.0017723,0.0017723,0.0017723
25,28.3482,0.94508,0.86895,1.07483,0.72709,0.58537,0.64389,0.41009,1.18485,1.64484,1.3079,0.0017624,0.0017624,0.0017624
26,29.2013,0.96702,0.92128,1.11116,0.84971,0.70732,0.74243,0.52901,1.08579,1.20677,1.2043,0.0017525,0.0017525,0.0017525
27,30.0623,0.89214,0.8861,1.02871,0.94053,0.77165,0.83264,0.60926,0.97295,1.03794,1.1143,0.0017426,0.0017426,0.0017426
28,30.9266,0.89748,0.87622,1.0646,0.91219,0.7561,0.80987,0.59884,0.97867,1.35626,1.11634,0.0017327,0.0017327,0.0017327
29,31.77,0.91452,0.87167,1.08187,0.96378,0.7561,0.8093,0.59446,0.97961,1.20699,1.10993,0.0017228,0.0017228,0.0017228
30,32.6272,0.87074,0.78965,1.01362,0.90584,0.7561,0.82493,0.61521,0.94429,1.15118,1.07695,0.0017129,0.0017129,0.0017129
31,33.4911,0.86736,0.79783,1.05379,0.71547,0.7561,0.7364,0.54265,0.96372,2.05873,1.14811,0.001703,0.001703,0.001703
32,34.3446,0.88683,0.80964,1.08586,0.98073,0.63415,0.76631,0.58577,0.8673,1.32057,1.06714,0.0016931,0.0016931,0.0016931
33,35.1811,0.86321,0.81006,1.00217,0.83828,0.6322,0.72042,0.56598,0.89962,1.51479,1.08919,0.0016832,0.0016832,0.0016832
34,36.0028,0.90186,0.81848,1.07045,0.93867,0.7561,0.79593,0.61797,1.00984,1.31041,1.16255,0.0016733,0.0016733,0.0016733
35,36.9368,0.89636,0.82748,1.05839,0.76843,0.64764,0.67916,0.49854,1.00312,1.62554,1.15277,0.0016634,0.0016634,0.0016634
36,37.7709,0.86593,0.79627,1.05984,0.81959,0.63415,0.67721,0.50934,1.12495,1.68406,1.24003,0.0016535,0.0016535,0.0016535
