epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.00279,1.00176,3.53201,1.22791,0.00512,0.9403,0.39863,0.28138,0.65045,2.94113,0.94558,0.0001,0.0001,0.0001
2,5.67842,0.9556,2.75958,1.12067,0.0052,0.95522,0.5919,0.42991,0.69752,2.83457,0.93901,0.000217822,0.000217822,0.000217822
3,6.41482,1.01792,1.99509,1.15528,0.91289,0.31286,0.69903,0.51715,0.79027,2.47998,0.92855,0.000333268,0.000333268,0.000333268
4,7.18947,1.00171,1.61422,1.13866,0.93596,0.43637,0.7189,0.50566,0.83436,2.39095,0.95158,0.000446338,0.000446338,0.000446338
5,7.89684,1.04318,1.57217,1.15099,0.93343,0.41858,0.69295,0.4793,0.86899,2.47142,0.95158,0.000557032,0.000557032,0.000557032
6,8.61008,0.94967,1.40863,1.05409,0.90505,0.28456,0.67028,0.48146,0.86738,2.54931,0.98356,0.00066535,0.00066535,0.00066535
7,9.27865,0.95687,1.49791,1.08616,0.93687,0.22162,0.57277,0.40778,0.87529,2.61414,0.97674,0.000771292,0.000771292,0.000771292
8,9.9907,0.88746,1.38432,1.08489,0.94309,0.24754,0.50044,0.36109,0.81436,2.63718,0.96836,0.000874858,0.000874858,0.000874858
9,10.6454,1.01945,1.72355,1.10247,0.89303,0.24939,0.46988,0.34248,0.86269,2.67155,0.98822,0.000976048,0.000976048,0.000976048
10,11.3697,0.95024,1.40964,1.11936,0.91527,0.32258,0.54741,0.38857,0.90165,2.5765,1.03719,0.00107486,0.00107486,0.00107486
11,12.0491,0.86318,1.34432,1.05769,0.83802,0.38615,0.52207,0.3483,1.01118,2.52712,1.1083,0.0011713,0.0011713,0.0011713
12,12.71,0.96692,1.33738,1.1132,0.86349,0.47215,0.56946,0.3893,0.99733,2.39284,1.09037,0.00126536,0.00126536,0.00126536
13,13.3396,0.90942,1.46823,1.1094,0.73254,0.46269,0.51168,0.37672,1.0125,2.26195,1.10291,0.00135705,0.00135705,0.00135705
14,14.0804,1.0619,1.59807,1.17367,0.76681,0.58209,0.57248,0.37215,1.19043,2.14136,1.2294,0.00144636,0.00144636,0.00144636
15,14.7187,0.96063,1.47602,1.12908,0.76681,0.58209,0.57248,0.37215,1.19043,2.14136,1.2294,0.00153329,0.00153329,0.00153329
16,15.4028,0.88907,1.27291,1.05676,0.68519,0.61728,0.62457,0.43585,1.23208,1.79885,1.25622,0.00161785,0.00161785,0.00161785
17,16.0669,0.92371,1.35583,1.09487,0.7939,0.51752,0.63345,0.42994,1.22424,1.61866,1.2761,0.0016832,0.0016832,0.0016832
18,16.7317,0.89589,1.32741,1.05795,0.60621,0.59739,0.59695,0.34382,1.46753,1.6679,1.41216,0.0016634,0.0016634,0.0016634
19,17.4179,0.87449,1.29866,1.10605,0.60621,0.59739,0.59695,0.34382,1.46753,1.6679,1.41216,0.0016436,0.0016436,0.0016436
20,18.1012,0.93626,1.24073,1.07037,0.60923,0.60506,0.56309,0.33357,1.44982,1.74439,1.49295,0.0016238,0.0016238,0.0016238
21,18.769,1.05914,1.32896,1.15011,0.70679,0.58209,0.58381,0.35227,1.29174,1.74811,1.37839,0.001604,0.001604,0.001604
22,19.4197,0.98815,1.367,1.08634,0.75847,0.60936,0.64415,0.4102,1.27651,1.75687,1.37596,0.0015842,0.0015842,0.0015842
23,20.0891,0.88517,1.16007,1.04691,0.75847,0.60936,0.64415,0.4102,1.27651,1.75687,1.37596,0.0015644,0.0015644,0.0015644
24,20.7463,0.89554,1.1913,1.0312,0.86241,0.61194,0.66459,0.40953,1.18,1.90222,1.28901,0.0015446,0.0015446,0.0015446
25,21.4076,0.83414,1.0884,1.05261,0.86129,0.68657,0.69248,0.47584,1.07055,1.82101,1.22375,0.0015248,0.0015248,0.0015248
26,22.0503,0.93028,1.16527,1.08213,0.86189,0.65209,0.68029,0.43294,1.13483,1.97977,1.2829,0.001505,0.001505,0.001505
27,22.7383,0.89554,1.04986,1.04284,0.86189,0.65209,0.68029,0.43294,1.13483,1.97977,1.2829,0.0014852,0.0014852,0.0014852
28,23.4226,0.7549,1.04192,0.99169,0.85437,0.61295,0.67654,0.46886,1.07147,1.93161,1.19033,0.0014654,0.0014654,0.0014654
29,24.0763,0.93749,1.13995,1.10843,0.80242,0.66681,0.68644,0.4779,1.10078,2.04452,1.2181,0.0014456,0.0014456,0.0014456
30,24.7264,0.86059,1.08758,1.05575,0.67093,0.58209,0.60375,0.41294,1.13379,2.47357,1.25533,0.0014258,0.0014258,0.0014258
31,25.3832,0.86924,1.10371,1.07032,0.67093,0.58209,0.60375,0.41294,1.13379,2.47357,1.25533,0.001406,0.001406,0.001406
32,26.0598,0.88148,1.11657,1.04941,0.64024,0.50746,0.55125,0.35903,1.24374,2.39222,1.30121,0.0013862,0.0013862,0.0013862
33,26.7738,0.77557,1.08143,0.99383,0.68117,0.67164,0.61955,0.40429,1.2663,1.85207,1.35376,0.0013664,0.0013664,0.0013664
34,27.4379,0.87379,1.01384,1.02363,0.76808,0.64259,0.67034,0.47859,1.11002,1.62155,1.24902,0.0013466,0.0013466,0.0013466
35,28.0951,0.77293,0.98489,1.02459,0.76808,0.64259,0.67034,0.47859,1.11002,1.62155,1.24902,0.0013268,0.0013268,0.0013268
36,28.7277,0.81094,0.99174,1.05178,0.79947,0.68657,0.73371,0.51842,1.06781,1.50711,1.24685,0.001307,0.001307,0.001307
37,29.3968,0.82512,1.0484,1.09293,0.77957,0.71642,0.71295,0.51197,1.07685,1.54451,1.2738,0.0012872,0.0012872,0.0012872
38,30.0328,0.82802,0.94256,1.01604,0.81506,0.65672,0.72464,0.52674,1.02097,1.53632,1.19657,0.0012674,0.0012674,0.0012674
39,30.7235,0.75895,0.95232,1.0302,0.81506,0.65672,0.72464,0.52674,1.02097,1.53632,1.19657,0.0012476,0.0012476,0.0012476
