epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.79229,1.03078,3.22942,1.33564,0.78025,0.52778,0.63968,0.60951,0.35334,2.26194,0.98202,4e-05,4e-05,4e-05
2,7.37828,0.91039,3.19941,1.26481,0.97872,0.63889,0.75089,0.64787,0.44337,7.35269,0.99467,9.901e-05,9.901e-05,9.901e-05
3,11.5489,0.62523,5.35712,1.1334,0.97917,0.65278,0.75152,0.65272,0.44265,7.23135,0.98804,0.000156832,0.000156832,0.000156832
4,15.726,0.79965,3.96092,1.14924,0.00784,0.41667,0.00603,0.00467,1.08759,inf,1.50827,0.000213466,0.000213466,0.000213466
5,19.6465,0.85859,1.91572,1.16605,0.00521,0.63889,0.00423,0.00259,nan,nan,nan,0.000268912,0.000268912,0.000268912
6,23.4761,0.91793,1.90051,1.18417,0.00462,0.59722,0.00385,0.00238,nan,nan,nan,0.00032317,0.00032317,0.00032317
7,27.3743,1.01448,1.70469,1.29652,0.2888,0.45122,0.19581,0.122,nan,nan,nan,0.00037624,0.00037624,0.00037624
8,31.2184,1.07259,1.60991,1.36417,0.02756,0.55556,0.03349,0.01945,nan,nan,nan,0.000428122,0.000428122,0.000428122
9,35.1847,1.0978,1.71913,1.49347,0.00372,0.52778,0.00285,0.00177,nan,nan,nan,0.000478816,0.000478816,0.000478816
10,38.9888,1.04814,1.20352,1.34385,0.00151,0.23611,0.00117,0.00031,nan,nan,nan,0.000528322,0.000528322,0.000528322
11,42.8801,0.97584,1.34157,1.31477,0.0047,0.58333,0.00379,0.00132,nan,nan,nan,0.00057664,0.00057664,0.00057664
12,46.6859,1.05706,1.26094,1.38628,0.00313,0.5,0.00281,0.00094,nan,nan,nan,0.00062377,0.00062377,0.00062377
13,50.5729,1.15856,1.5607,1.50841,0.00293,0.38889,0.00213,0.00074,nan,nan,nan,0.000669712,0.000669712,0.000669712
14,54.3971,1.17207,1.18348,1.45968,0.00165,0.26389,0.00101,0.0004,nan,nan,nan,0.000714466,0.000714466,0.000714466
15,58.2981,1.08182,1.16116,1.36419,0,0,0,0,nan,nan,nan,0.000758032,0.000758032,0.000758032
16,62.1087,1.21969,1.20594,1.54331,0,0,0,0,nan,nan,nan,0.00080041,0.00080041,0.00080041
17,66.0494,1.04714,1.25765,1.31956,0,0,0,0,nan,nan,nan,0.0008416,0.0008416,0.0008416
18,69.9408,1.04401,1.5359,1.33261,8e-05,0.01389,4e-05,0,nan,nan,nan,0.000881602,0.000881602,0.000881602
19,73.8235,1.19548,1.42344,1.45495,0,0,0,0,nan,nan,nan,0.000920416,0.000920416,0.000920416
20,77.6734,0.97655,1.06551,1.23904,0,0,0,0,nan,nan,nan,0.000958042,0.000958042,0.000958042
21,81.4961,0.99388,1.06782,1.32439,0.00212,0.34722,0.00145,0.00043,3.40732,inf,813.868,0.00099448,0.00099448,0.00099448
22,85.3224,1.21433,1.13078,1.4341,0.00272,0.45833,0.0024,0.00061,3.86131,inf,96.007,0.00102973,0.00102973,0.00102973
23,89.174,1.04648,1.05286,1.28692,0.00194,0.31944,0.00174,0.00037,3.84394,inf,111.419,0.00106379,0.00106379,0.00106379
24,93.0129,1.15914,1.09972,1.40446,0.00163,0.27778,0.00114,0.00029,3.88736,inf,725.752,0.00109667,0.00109667,0.00109667
25,96.8698,1.13171,1.0413,1.36429,0.00124,0.18056,0.00075,0.00019,nan,nan,nan,0.00112835,0.00112835,0.00112835
26,100.872,1.0697,1.0676,1.33978,0.00089,0.15278,0.00055,8e-05,nan,nan,nan,0.00115885,0.00115885,0.00115885
27,104.715,1.05318,1.12129,1.36649,0.00081,0.13889,0.0005,8e-05,nan,nan,nan,0.00118816,0.00118816,0.00118816
28,108.551,1.28116,1.40906,1.56775,0.00147,0.02778,0.00079,8e-05,nan,nan,nan,0.00121628,0.00121628,0.00121628
29,112.333,1.2155,1.19868,1.53022,0.00147,0.02778,0.00079,8e-05,nan,nan,nan,0.00124322,0.00124322,0.00124322
30,116.14,0.97599,0.98018,1.2691,0,0,0,0,nan,nan,nan,0.00126896,0.00126896,0.00126896
31,119.949,1.06313,1.19999,1.4115,0,0,0,0,nan,nan,nan,0.00129352,0.00129352,0.00129352
32,123.794,1.07173,1.06888,1.34407,0.00039,0.04167,0.00021,8e-05,nan,nan,nan,0.00131689,0.00131689,0.00131689
33,127.577,0.9871,0.95985,1.30405,0.00039,0.04167,0.00021,8e-05,nan,nan,nan,0.00133907,0.00133907,0.00133907
34,131.383,0.99077,0.97549,1.29235,0,0,0,0,nan,nan,nan,0.0013466,0.0013466,0.0013466
35,135.18,0.98597,0.89793,1.26956,0.00222,0.05556,0.00118,0.00034,nan,nan,nan,0.0013268,0.0013268,0.0013268
